project_id,project_title,project_description,data_type,data_quality,scientific_name,taxonomic_rank,ncbi_tax_id,disease_name,mesh_id,phenotype_a,phenotype_a_mesh_id,phenotype_b,phenotype_b_mesh_id,negative_enriched_in,positive_enriched_in,method,effect_type,lda_score,association_url,source_database
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Clostridium fessum,species,2126740,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-2.66189483562046,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Parabacteroides faecalis,species,2924040,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-2.59642753568478,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Lentihominibacter,genus,2944200,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-2.594480291948,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Lawsonibacter,genus,2172004,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-2.55315976190133,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Flavonifractor,genus,946234,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-2.54574408450706,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Lentihominibacter faecis,species,2764712,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-2.54330737061567,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Mitsuokella,genus,52225,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-2.53094802747908,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Mitsuokella multacida,species,52226,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-2.52977510670937,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Lawsonibacter asaccharolyticus,species,2108523,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-2.52249469914272,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Clostridium sp. AF36-4,species,2293015,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-2.48492370060169,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
